ayr_scd1,typ_scd1,then_scd1,latest_scd1,ssch_scd1,pub_scd1,ctycd_scd1,cty_scd1,zipcd_scd1,dist_scd1,adr_scd1,nt_scd1,ayr_nt_scd1,tscs_lv7_scd1
103,高級中等學校,130417,130417,國立恆春工商,公立,13,屏東縣,946,恆春鎮,屏東縣恆春鎮恆南路38號,,,5
103,高級中等學校,131307,131307,財團法人屏榮高中,私立,13,屏東縣,900,屏東市,屏東縣屏東市豐田里民學路100號,,,4
103,高級中等學校,131308,131308,私立陸興高中,私立,13,屏東縣,900,屏東市,屏東縣屏東市豐田里廣東路150號,,,4
103,高級中等學校,131311,131311,私立美和高中,私立,13,屏東縣,912,內埔鄉,屏東縣內埔鄉美和村學人路323號,,,5
103,高級中等學校,131409,131409,私立民生家商,私立,13,屏東縣,900,屏東市,屏東縣屏東市民生東路12號,"依教育部108年11月15日臺教授國字第1080132609F號函同意該校自109學年度起停止招收新生(目前已無在學生)。
依教育部109年9月4日臺教授國部字第1090098829號函同意該校自發文日起停辦所設高級中等學校。",,4
103,高級中等學校,131416,131416,私立華洲工家,私立,13,屏東縣,900,屏東市,屏東縣屏東市歸心里歸仁路63巷99號,,,4
103,高級中等學校,131418,131418,私立日新工商,私立,13,屏東縣,920,潮州鎮,屏東縣潮州鎮太平路224號,,,5
103,高級中等學校,134304,134304,縣立大同高中,公立,13,屏東縣,900,屏東市,屏東縣屏東市和平路429號,,,4
103,高級中等學校,134321,134321,縣立枋寮高中,公立,13,屏東縣,940,枋寮鄉,屏東縣枋寮鄉新龍村義民路3號,,,6
103,高級中等學校,134324,134324,縣立東港高中,公立,13,屏東縣,928,東港鎮,屏東縣東港鎮船頭路1號,,,5
103,高級中等學校,134334,134334,縣立來義高中,公立,13,屏東縣,922,來義鄉,屏東縣來義鄉古樓村中正路147號,,,7
103,高級中等學校,140301,140301,國立臺東大學附屬體育高中,公立,14,臺東縣,950,臺東市,臺東縣臺東市中興路五段399號,,,5
103,高級中等學校,140302,140302,國立臺東女中,公立,14,臺東縣,950,臺東市,臺東縣臺東市四維路一段690號,,,5
103,高級中等學校,140303,140303,國立臺東高中,公立,14,臺東縣,950,臺東市,臺東縣臺東市中華路一段721號,「國立臺東專科學校」之學校代碼為「140222」,,5
103,大專附設進修學校,140222,140401,國立臺東專科學校附設進修學校,公立,14,臺東縣,950,臺東市,臺東縣臺東市正氣北路889號,,,5
103,高級中等學校,140404,140404,國立關山工商,公立,14,臺東縣,956,關山鎮,臺東縣關山鎮民權路58號,,,6
103,高級中等學校,140405,140405,國立臺東高商,公立,14,臺東縣,950,臺東市,臺東縣臺東市正氣路440號,,,5
103,高級中等學校,140408,140408,國立成功商水,公立,14,臺東縣,961,成功鎮,臺東縣成功鎮太平路52號,104.6.26依據104年6月3日臺教授國字第1040058516號函，104年8月1日改制為「均一學校財團法人臺東縣均一高級中等學校」。,,6
103,高級中等學校,141301,141301,臺東縣均一高中,私立,14,臺東縣,950,臺東市,臺東縣臺東市中興路二段366巷36號,,,5
103,高級中等學校,141307,141307,私立育仁高中,私立,14,臺東縣,950,臺東市,臺東縣臺東市中興路四段485號,,,5
103,高級中等學校,141406,141406,私立公東高工,私立,14,臺東縣,950,臺東市,臺東縣臺東市中興路一段560號,,,5
103,高級中等學校,144322,144322,縣立蘭嶼高中,公立,14,臺東縣,952,蘭嶼鄉,臺東縣蘭嶼鄉椰油村37號,,,7
103,高級中等學校,150302,150302,國立花蓮女中,公立,15,花蓮縣,970,花蓮市,花蓮縣花蓮市菁華街2號,,,4
103,高級中等學校,150303,150303,國立花蓮高中,公立,15,花蓮縣,970,花蓮市,花蓮縣花蓮市民權路42號,,,4
103,高級中等學校,150309,150309,國立玉里高中,公立,15,花蓮縣,981,玉里鎮,花蓮縣玉里鎮中華路424號,,,6
103,高級中等學校,150401,150401,國立花蓮高農,公立,15,花蓮縣,970,花蓮市,花蓮縣花蓮市建國路161號,,,4
103,高級中等學校,150404,150404,國立花蓮高工,公立,15,花蓮縣,970,花蓮市,花蓮縣花蓮市府前路27號,,,4
103,高級中等學校,150405,150405,國立花蓮高商,公立,15,花蓮縣,970,花蓮市,花蓮縣花蓮市中山路418號,,,4
103,高級中等學校,150411,150411,國立光復商工,公立,15,花蓮縣,976,光復鄉,花蓮縣光復鄉林森路100號,,,6
103,高級中等學校,151306,151306,私立海星高中,私立,15,花蓮縣,971,新城鄉,花蓮縣新城鄉嘉新村嘉新路36號,,,7
103,高級中等學校,151307,151307,私立四維高中,私立,15,花蓮縣,970,花蓮市,花蓮縣花蓮市中山路一段200號,,,4
